Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
L001,Male,No,3+,Not Graduate,Yes,59103,349803,161240,4,245,Semiurban,Y
L002,Female,No,1,Graduate,Yes,471494,188495,2401133,3,423,Urban,N
L003,Male,Yes,1,Graduate,No,490281,16797,3625016,2,402,Urban,N
L004,Male,Yes,0,Graduate,No,162464,106185,2411339,3,910,Semiurban,Y
L005,Male,No,0,Not Graduate,No,283223,46777,927262,3,516,Rural,N
L006,Female,Yes,2,Graduate,No,341074,469920,2357604,3,803,Urban,Y
L007,Female,No,3+,Graduate,No,239323,164953,273860,3,835,Semiurban,Y
L008,Female,Yes,2,Not Graduate,Yes,138226,321785,1934756,3,9,Urban,N
L009,Female,Yes,1,Not Graduate,No,106459,60340,75113,4,225,Urban,Y
L010,Female,Yes,0,Not Graduate,Yes,111896,372208,4063218,2,873,Urban,Y
L011,Male,Yes,0,Graduate,Yes,413412,217374,1628541,4,517,Urban,Y
L012,Female,No,2,Graduate,No,278601,176557,2710024,4,728,Semiurban,Y
L013,Male,Yes,1,Graduate,Yes,489253,411500,823425,3,6,Rural,Y
L014,Male,No,0,Not Graduate,Yes,385018,136773,1007961,4,816,Semiurban,Y
L015,Female,Yes,2,Not Graduate,No,41970,36220,2024634,1,705,Semiurban,Y
L016,Female,Yes,2,Not Graduate,Yes,85341,421587,786676,3,937,Rural,Y
L017,Male,Yes,1,Not Graduate,No,344930,190865,3756907,1,275,Semiurban,N
L018,Male,Yes,0,Graduate,Yes,382165,34808,933440,2,864,Semiurban,Y
L019,Male,No,1,Graduate,Yes,275252,147981,4963942,4,294,Rural,N
L020,Male,No,2,Not Graduate,Yes,320456,464696,323909,3,115,Semiurban,Y
L021,Male,No,0,Not Graduate,Yes,108176,229424,4824841,3,528,Semiurban,N
L022,Female,Yes,1,Not Graduate,Yes,17960,10727,1912073,3,803,Rural,Y
L023,Female,Yes,3+,Graduate,Yes,119419,369664,2175441,4,158,Urban,N
L024,Female,No,3+,Not Graduate,No,195650,79050,3851110,1,736,Semiurban,Y
L025,Male,No,0,Graduate,No,24519,79944,4309044,1,418,Semiurban,N
L026,Male,Yes,3+,Graduate,Yes,137274,480775,2474205,2,429,Semiurban,N
L027,Female,No,1,Not Graduate,No,203901,121635,261664,1,271,Rural,Y
L028,Male,No,3+,Not Graduate,No,63469,20498,2679427,2,285,Semiurban,N
L029,Male,No,2,Graduate,No,321051,167238,1991963,2,304,Semiurban,N
L030,Female,No,1,Not Graduate,Yes,81366,163079,4282760,4,160,Urban,N
L031,Male,Yes,2,Graduate,No,335237,197064,1544342,2,603,Urban,N
L032,Female,No,3+,Not Graduate,Yes,472484,397045,550233,1,527,Rural,Y
L033,Female,Yes,2,Not Graduate,No,114142,328223,2290044,2,253,Semiurban,N
L034,Male,No,0,Graduate,No,302712,232990,3482593,4,917,Semiurban,Y
L035,Male,Yes,1,Graduate,Yes,499216,170819,1759847,3,896,Rural,Y
L036,Female,Yes,0,Graduate,No,128764,57988,1410210,4,167,Semiurban,N
L037,Male,Yes,3+,Graduate,No,172430,345066,699918,2,774,Semiurban,Y
L038,Female,No,2,Graduate,No,83468,50966,4695703,2,91,Rural,N
L039,Female,Yes,2,Graduate,Yes,485328,256412,4729339,2,584,Semiurban,N
L040,Female,No,1,Not Graduate,No,257180,360646,3725900,2,83,Urban,N
L041,Female,Yes,2,Not Graduate,Yes,349515,98162,3147976,2,865,Rural,Y
L042,Male,No,2,Not Graduate,Yes,451552,90764,2513233,4,14,Urban,N
L043,Female,Yes,3+,Not Graduate,Yes,95690,200710,3985498,4,158,Semiurban,N
L044,Male,Yes,1,Not Graduate,Yes,68276,148912,412611,1,883,Semiurban,Y
L045,Male,No,2,Not Graduate,No,108203,245019,2030964,3,466,Urban,N
L046,Male,Yes,0,Graduate,Yes,237076,443506,2289817,2,174,Rural,N
L047,Female,No,2,Not Graduate,No,33333,311971,2527380,4,947,Rural,Y
L048,Female,No,1,Not Graduate,Yes,108548,12602,2969790,3,743,Urban,Y
L049,Male,Yes,2,Not Graduate,No,479375,62228,1440369,1,635,Rural,N
L050,Male,No,0,Not Graduate,No,257396,480509,629780,1,866,Urban,Y
L051,Male,No,1,Graduate,Yes,203368,193457,3996729,3,723,Rural,Y
L052,Female,No,3+,Not Graduate,Yes,446738,464514,3245973,1,458,Rural,N
L053,Male,Yes,0,Graduate,No,279210,213895,386223,4,813,Rural,Y
L054,Female,Yes,3+,Not Graduate,Yes,134211,485787,2224318,3,419,Semiurban,N
L055,Male,Yes,1,Not Graduate,Yes,181512,240955,2304824,1,247,Urban,N
L056,Female,No,0,Graduate,No,58241,354791,3057990,1,570,Semiurban,N
L057,Female,No,3+,Graduate,Yes,278767,447770,899498,2,758,Rural,Y
L058,Female,Yes,3+,Graduate,No,184675,426867,3464644,4,884,Rural,Y
L059,Male,No,0,Not Graduate,Yes,300226,126263,562608,3,820,Rural,Y
L060,Male,No,0,Not Graduate,No,119657,74939,1696810,1,435,Urban,N
L061,Male,No,2,Not Graduate,No,55021,63304,1202305,3,683,Rural,Y
